title,totalScore,reviewsCount,location/lat,location/lng,neighborhood,url,Kecamatan,Jiwa/km²,nearby_alfamart,second_nearby_alfamart,cluster
Indomaret,4.4,78,-2.9472458,104.7024432,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomart&query_place_id=ChIJLw-Hnfd0Oy4RaF18P7lo1As,Alang-Alang Lebar,4823,0,0,1
Indomaret Banten,4.5,214,-2.996129,104.7796319,Seberang Ulu II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Banten&query_place_id=ChIJXaQHbYqdOy4Rm8f57WWlENY,Seberang Ulu II,12784,1,1,2
Indomaret Sultan Mansyur 981 - T4TM,4.0,16,-3.0027499,104.731872,Ilir Barat I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sultan%20Mansyur%20981%20-%20T4TM&query_place_id=ChIJ7QspAxmeOy4RT8FveR-Z84M,Ilir Barat I,3853,0,0,1
Indomaret Padang Selasa,4.4,377,-2.990758,104.733392,Ilir Barat I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Padang%20Selasa&query_place_id=ChIJaZW28_N1Oy4RoO2qeQsTzuQ,Ilir Barat I,3853,0,0,1
Indomaret,3.3,6,-2.9916005,104.7273703,Ilir Barat I,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJYZlqwLl1Oy4R-HR9ydL4IOY,Ilir Barat I,3853,1,0,0
Indomaret,3.9,7,-3.0025058,104.7369126,Ilir Barat I,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJL63wcQWfOy4RiQlarnJXm2M,Ilir Barat I,3853,1,1,2
ATM Bank BCA 107W-Indomaret H. Sanusi,5.0,1,-2.9487664,104.7424325,Sukarami,https://www.google.com/maps/search/?api=1&query=ATM%20Bank%20BCA%20107W-Indomaret%20H.%20Sanusi&query_place_id=ChIJD_elvS90Oy4RZYMT42N0LnU,Sukarami,5295,1,0,0
Indomaret Alamsyah Ratu Perwira,4.5,6,-3.0057538,104.7224236,Gandus,https://www.google.com/maps/search/?api=1&query=Indomaret%20Alamsyah%20Ratu%20Perwira&query_place_id=ChIJ5f___2qeOy4RbCoYk47dkRA,Gandus,1689,1,0,0
Indomaret Poshop Merdeka,4.4,10,-2.9894218,104.7598767,Bukit Kecil,https://www.google.com/maps/search/?api=1&query=Indomaret%20Poshop%20Merdeka&query_place_id=ChIJY1VVBQ6eOy4R1vrQL7lPCB4,Bukit Kecil,16048,0,0,1
Indomaret Cik Agus Kiemas,4.3,7,-2.9872461,104.7596564,Bukit Kecil,https://www.google.com/maps/search/?api=1&query=Indomaret%20Cik%20Agus%20Kiemas&query_place_id=ChIJDax6ajp3Oy4RyYIXSCR8MXY,Bukit Kecil,16048,1,0,0
Indomaret Bungaran,5.0,1,-3.0006148,104.7679693,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Bungaran&query_place_id=ChIJGfNaZnOdOy4Rc0ScGsUWWK8,Seberang Ulu I,15799,1,0,0
indomaret Ratna,4.5,175,-2.9940644,104.7526984,Ilir Barat II,https://www.google.com/maps/search/?api=1&query=indomaret%20Ratna&query_place_id=ChIJz51FcAB2Oy4RIseVccHWAbU,Ilir Barat II,16715,0,0,1
Indomaret Ahmad Dahlan,3.0,12,-2.9876733,104.7479016,Bukit Kecil,https://www.google.com/maps/search/?api=1&query=Indomaret%20Ahmad%20Dahlan&query_place_id=ChIJ9aZD7Px1Oy4R4LGYmm0EB7Q,Bukit Kecil,16048,0,0,1
Indomaret Diponegoro,4.5,160,-2.994138,104.7490551,Ilir Barat II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Diponegoro&query_place_id=ChIJe14-Sop1Oy4Rw8hGUcDgIUE,Ilir Barat II,16715,0,0,1
Indomaret Cahaya Bulan,4.6,29,-3.0028627,104.7485447,Ilir Barat II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Cahaya%20Bulan&query_place_id=ChIJ5WqKoWufOy4RGNOY7HmSIlo,Ilir Barat II,16715,0,0,1
Indomaret Makrayu,3.3,20,-2.9944849,104.7455527,Ilir Barat II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Makrayu&query_place_id=ChIJO4GWcAB2Oy4RdErjFY70UJ8,Ilir Barat II,16715,0,0,1
Indomaret parameswara 33,4.0,4,-2.987324,104.7205291,Ilir Barat I,https://www.google.com/maps/search/?api=1&query=Indomart%20parameswara%2033&query_place_id=ChIJSwa-wZB1Oy4RKxmb_9MzV98,Ilir Barat I,3853,1,0,0
ATM BCA 107U-Indomaret Kebun Bunga,4.1,9,-2.9192211,104.7164261,Sukarami,https://www.google.com/maps/search/?api=1&query=ATM%20BCA%20107U-Indomaret%20Kebun%20Bunga&query_place_id=ChIJhejiBHh0Oy4RftSiaRU61S0,Sukarami,5295,1,0,0
ATM Bank BCA 112A-Indomaret Mas Karebet,4.0,1,-2.924738,104.701391,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=ATM%20Bank%20BCA%20112A-Indomaret%20Mas%20Karebet&query_place_id=ChIJd5FQwYZ0Oy4R37w98-aGF28,Alang-Alang Lebar,4823,0,0,1
ATM Bank BCA 6898-Indomaret Sukabangun,3.0,1,-2.935427,104.735255,Sukarami,https://www.google.com/maps/search/?api=1&query=ATM%20Bank%20BCA%206898-Indomaret%20Sukabangun&query_place_id=ChIJGVXxhxZ0Oy4RW1UCbOqam0U,Sukarami,5295,1,0,0
Indomaret Ahmad Yani 134,2.3,14,-2.9933966,104.7822119,Seberang Ulu II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Ahmad%20Yani%20134&query_place_id=ChIJzSDiDgx3Oy4RFAl0BI_z4AA,Seberang Ulu II,12784,0,0,1
Indomaret Ahmad Yani 3,4.5,45,-2.9934603,104.780824,Seberang Ulu II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Ahmad%20Yani%203&query_place_id=ChIJKfYbziB2Oy4R4hxkDTEotlo,Seberang Ulu II,12784,0,0,1
INDOMARET HUSIN BASRI,5.0,1,-2.9277125,104.8250156,Sematang Borang,https://www.google.com/maps/search/?api=1&query=INDOMARET%20HUSIN%20BASRI&query_place_id=ChIJU6Km-Nl3Oy4Rs5rbs-FFcyk,Sematang Borang,2884,0,0,1
Indomaret Sematang Borang tk vita,1.0,1,-2.9197456,104.8014491,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sematang%20Borang%20tk%20vita&query_place_id=ChIJ-fvBeAB3Oy4R8okUfhLwbKA,Sako,6839,0,0,1
Indomaret,1.0,1,-2.9355428,104.8203612,Sematang Borang,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJ14ejwD93Oy4RkraPbThYIGc,Sematang Borang,2884,0,0,1
Indomaret Srimulya,5.0,3,-2.9393849,104.7987174,Sematang Borang,https://www.google.com/maps/search/?api=1&query=Indomaret%20Srimulya&query_place_id=ChIJ83JtVSF3Oy4RzaJYZ_6QVKk,Sematang Borang,2884,1,0,0
Indomaret Padat Karya 34,4.6,173,-2.9402783,104.8022484,Sematang Borang,https://www.google.com/maps/search/?api=1&query=Indomaret%20Padat%20Karya%2034&query_place_id=ChIJBeYk0Pp3Oy4R_F6WhqafhnY,Sematang Borang,2884,0,0,1
Indomaret,2.0,4,-2.9179392,104.8214359,Sematang Borang,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJPyGRjVl3Oy4Ru0Wv55t3U3g,Sematang Borang,2884,0,0,1
Indomaret Borang Dalam,4.5,129,-2.9194938,104.8018707,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Borang%20Dalam&query_place_id=ChIJXfUlVHd3Oy4RVxOaqOCPSnY,Sako,6839,0,0,1
Indomaret,4.2,40,-2.9449139,104.8465383,Sematang Borang,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJP3hQFqd5Oy4RkU7aoKGBXmk,Sematang Borang,2884,0,0,1
Indomaret batang hari raya,2.8,4,-2.932432,104.7911576,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20batang%20hari%20raya&query_place_id=ChIJlRPV1s53Oy4RIXGuj4sQ_uM,Sako,6839,1,1,2
Indomaret Simpang BLK,3.8,29,-2.9298387,104.7703068,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Simpang%20BLK&query_place_id=ChIJwQO5nLl2Oy4R6st2nuAO_wI,Sako,6839,0,0,1
Indomaret,4.0,5,-2.9495491,104.7815041,Kalidoni,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJgyQB_Qt3Oy4RbdXOS0modTg,Kalidoni,4034,0,0,1
Indomaret,4.2,15,-2.9399735,104.7831616,Kalidoni,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJXVtZFO93Oy4RrPzsAsVJHUg,Kalidoni,4034,0,0,1
Indomaret SPBU Mangkunegara,3.9,14,-2.9399382,104.767694,Kalidoni,https://www.google.com/maps/search/?api=1&query=Indomaret%20SPBU%20Mangkunegara&query_place_id=ChIJL_t8V5Z2Oy4RXN-ls4jcIeY,Kalidoni,4034,1,0,0
Indomaret Jaya Indah,4.4,187,-2.9946186,104.7787328,Seberang Ulu II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Jaya%20Indah&query_place_id=ChIJAULHiCB2Oy4RHOHscBuDkas,Seberang Ulu II,12784,1,1,2
Indomaret | 27 Ilir,3.8,8,-2.9938196,104.7541131,Ilir Barat II,https://www.google.com/maps/search/?api=1&query=Indomaret%20%7C%2027%20Ilir&query_place_id=ChIJ4W4bWwB2Oy4RmxAPoNCfONM,Ilir Barat II,16715,0,0,1
Indomaret Wahid Hasyim 4,4.5,70,-3.0037689,104.7644579,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Wahid%20Hasyim%204&query_place_id=ChIJu8v7cfCdOy4RKrcqbTZGWP4,Seberang Ulu I,15799,1,1,2
Indomaret nagaswidak,1.0,1,-2.9935087,104.7809691,Seberang Ulu II,https://www.google.com/maps/search/?api=1&query=Indomaret%20nagaswidak&query_place_id=ChIJvdNHodt3Oy4Re-gd7F6ViVE,Seberang Ulu II,12784,0,0,1
Indomaret | 7 Ulu,3.7,12,-3.002033,104.770116,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%20%7C%207%20Ulu&query_place_id=ChIJDXpR2_OdOy4RXL8W5Ro-1tI,Seberang Ulu I,15799,0,0,1
Indomaret 2 Ulu,4.0,4,-3.0054257,104.7551557,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%202%20Ulu&query_place_id=ChIJxZdIKGmdOy4R7ezppfVrzfE,Seberang Ulu I,15799,0,0,1
Indomaret Panca Usaha,4.4,192,-3.0088939,104.767189,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Panca%20Usaha&query_place_id=ChIJH_B85-6dOy4Re2gOTr8U5tU,Seberang Ulu I,15799,0,0,1
Indomaret Jl.Faqih Usman,4.3,46,-3.0054307,104.7552958,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%20Jl.Faqih%20Usman&query_place_id=ChIJlUUNJOudOy4R191VncLd2EM,Seberang Ulu I,15799,0,0,1
Indomaret Bbc,4.6,8,-2.9897539,104.7710561,Seberang Ulu II,https://www.google.com/maps/search/?api=1&query=Indomaret%20Bbc&query_place_id=ChIJ2U9JPxl2Oy4Rgmczjkwose8,Seberang Ulu II,12784,1,0,0
Indomaret Betawi Raya,4.7,178,-2.9354763,104.7925038,Sako,https://www.google.com/maps/search/?api=1&query=Indomaret%20Betawi%20Raya&query_place_id=ChIJK_Us2t12Oy4RpoYMyHKqsb8,Sako,6839,0,0,1
Indomaret KHM ASYIK,4.2,57,-3.0051891,104.7592415,Seberang Ulu I,https://www.google.com/maps/search/?api=1&query=Indomaret%20KHM%20ASYIK&query_place_id=ChIJ_ZB35-CdOy4RZhw6UscRf8k,Seberang Ulu I,15799,1,0,0
